,name,medal_type,count
467,DRESSEL Caeleb,Silver Medal,1
468,DREWS Andrea,Silver Medal,1
469,DRIESSEN Jan,Gold Medal,1
470,DUARTE ALECRIM Diana,Bronze Medal,1
471,DUBROVICH Jacqueline,Gold Medal,1
472,DUDA SAMPAIO,Silver Medal,1
473,DUDAEV Islam,Bronze Medal,1
474,DUETZ Annette,Gold Medal,1
475,DUGUMA Tsige,Silver Medal,1
476,DUJSHEBAEV Alex,Bronze Medal,1
477,DUJSHEBAEV Daniel,Bronze Medal,1
478,DULLEMANS Tessa,Silver Medal,1
479,DUNFORD Holly,Bronze Medal,1
480,DUNN Crystal,Gold Medal,1
481,DUPLANTIS Armand,Gold Medal,1
482,DUPONT Antoine,Gold Medal,1
483,DURANT Kevin,Gold Medal,1
484,DURANTI Agnese,Bronze Medal,1
485,DUSMATOV Hasanboy,Gold Medal,1
486,DUSSOULIER Lucas,Silver Medal,1
487,DYGERT Chloe,Bronze Medal,1
488,DYGERT Chloe,Gold Medal,1
489,DZHUZUPBEKOV Uzur,Bronze Medal,1
490,DZIAUGYS Evaldas,Bronze Medal,1
491,De GRASSE Andre,Gold Medal,1
492,EATON Jagger,Silver Medal,1
493,EBDEN Matthew,Gold Medal,1
494,ECHANIZ Pau,Bronze Medal,1
495,ECHIKUNWOKE Annette Nneka,Silver Medal,1
496,EDWARDS Anthony,Gold Medal,1
497,EGONU Paola Ogechi,Gold Medal,1
498,EHLERS Nils,Silver Medal,1
499,EHRLICH Emily,Gold Medal,1
500,EL AZZOUZI Oussama,Bronze Medal,1
501,EL BAKKALI Soufiane,Gold Medal,1
502,EL KAJOUI Munir,Bronze Medal,1
503,EL KHANNOUSS Bilal,Bronze Medal,1
504,EL OUAHDI Zakaria,Bronze Medal,1
505,ELGENDY Ahmed,Gold Medal,1
506,ELKASEVIC Sandra,Bronze Medal,1
507,ELLIS Kendall,Gold Medal,1
508,ELLISON Brady,Bronze Medal,1
509,ELLISON Brady,Silver Medal,1
510,ELOR Amit,Gold Medal,1
511,ELSAYED Mohamed,Bronze Medal,1
512,ELVER Helena,Bronze Medal,1
513,ELWES Charles,Gold Medal,1
514,EMBIID Joel,Gold Medal,1
515,EMURA Misaki,Bronze Medal,1
516,ENACHE Marian Florian,Gold Medal,1
517,ENDEMANN Vivien,Bronze Medal,1
518,ENSING Kyle,Bronze Medal,1
519,EPAILLARD Julien,Bronze Medal,1
520,EPEE Nelson,Gold Medal,1
521,EPPIE Lee Bhekempilo,Silver Medal,1
522,ERRANI Sara,Gold Medal,1
523,ERRIGO Arianna,Silver Medal,1
524,ESMAEILI LEIVESI Saeid,Gold Medal,1
525,ESPAR LLAQUET Anni,Gold Medal,1
526,ESPOSITO Manila,Bronze Medal,1
527,ESPOSITO Manila,Silver Medal,1
528,ESTER RAMOS Laura,Gold Medal,1
529,EVANS Neah,Bronze Medal,1
530,EVANS Neah,Silver Medal,1
531,EVENEPOEL Remco,Gold Medal,2
532,EZZALZOULI Abde,Bronze Medal,1
533,FAHR Sarah Luisa,Gold Medal,1
534,FAN Yunxia,Silver Medal,1
535,FAN Zhendong,Gold Medal,2
536,FARRINGTON Kent,Silver Medal,1
537,FATOVIC Loren,Silver Medal,1
538,FAULKNER Kristen,Gold Medal,2
539,FAURE Theo,Gold Medal,1
540,FAUTHOUX Marine,Silver Medal,1
541,FAVARETTO Martina,Silver Medal,1
542,FAZLIU Laura,Bronze Medal,1
543,FELIX-HOTHAM Jazmin,Gold Medal,1
544,FENG Bin,Silver Medal,1
545,FENG Yu,Gold Medal,1
546,FENG Ziqi,Bronze Medal,1
547,FENTE--DAMERS Rafael,Bronze Medal,1
548,FERJANI Fares,Silver Medal,1
